date,stock,Sentiment_score,headline_count
2025-03-19,SBIN,0.0,0
2025-03-19,SHRIRAMFIN,0.0,0
2025-03-19,SUNPHARMA,0.0,0
2025-03-19,TATACONSUM,0.0,0
2025-03-19,TATASTEEL,0.0,0
2025-03-19,TCS,0.0,0
2025-03-19,TECHM,0.0,0
2025-03-19,TITAN,0.0,0
2025-03-19,TMPV,0.0,0
2025-03-19,TRENT,0.0,0
2025-03-19,ULTRACEMCO,0.0,0
2025-03-19,WIPRO,0.0,0
2025-03-20,ADANIENT,0.0,0
2025-03-20,ADANIPORTS,0.0,0
2025-03-20,APOLLOHOSP,0.0,0
2025-03-20,ASIANPAINT,0.0,0
2025-03-20,AXISBANK,0.0,0
2025-03-20,BAJAJ-AUTO,0.0,0
2025-03-20,BAJAJFINSV,0.0,0
2025-03-20,BAJFINANCE,0.0,0
2025-03-20,BEL,0.0,0
2025-03-20,BHARTIARTL,0.0,0
2025-03-20,CIPLA,0.0,0
2025-03-20,COALINDIA,0.0,0
2025-03-20,DRREDDY,0.0,0
2025-03-20,EICHERMOT,0.0,0
2025-03-20,ETERNAL,0.0,0
2025-03-20,GRASIM,0.0,0
2025-03-20,HCLTECH,0.0,0
2025-03-20,HDFCBANK,0.0,0
2025-03-20,HDFCLIFE,0.0,0
2025-03-20,HINDALCO,0.0,0
2025-03-20,HINDUNILVR,0.0,0
2025-03-20,ICICIBANK,0.0,0
2025-03-20,INDIGO,0.0,0
2025-03-20,INFY,0.0,0
2025-03-20,ITC,0.0,0
2025-03-20,JIOFIN,0.0,0
2025-03-20,JSWSTEEL,0.0,0
2025-03-20,KOTAKBANK,0.0,0
2025-03-20,LT,0.0,0
2025-03-20,M&M,0.0,0
2025-03-20,MARUTI,0.0,0
2025-03-20,MAXHEALTH,0.0,0
2025-03-20,NESTLEIND,0.0,0
2025-03-20,NTPC,0.0,0
2025-03-20,ONGC,0.0,0
2025-03-20,POWERGRID,0.0,0
2025-03-20,RELIANCE,0.0,0
2025-03-20,SBILIFE,0.0,0
2025-03-20,SBIN,0.0,0
2025-03-20,SHRIRAMFIN,0.0,0
2025-03-20,SUNPHARMA,0.0,0
2025-03-20,TATACONSUM,0.0,0
2025-03-20,TATASTEEL,0.0,0
2025-03-20,TCS,0.0,0
2025-03-20,TECHM,0.0,0
2025-03-20,TITAN,0.0,0
2025-03-20,TMPV,0.0,0
2025-03-20,TRENT,0.0,0
2025-03-20,ULTRACEMCO,0.0,0
2025-03-20,WIPRO,0.0,0
