date,stock,roc,rsi,ma_ratio,volatility,momentum_score,sentiment_score,return_3d,return_7d,trend20,trend50,volume_ratio,BUY
2025-03-17,ADANIENT,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,ADANIPORTS,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,APOLLOHOSP,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,ASIANPAINT,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,AXISBANK,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,BAJAJ-AUTO,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,BAJAJFINSV,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,0
2025-03-17,BAJFINANCE,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,BEL,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,BHARTIARTL,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,CIPLA,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,COALINDIA,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,DRREDDY,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,EICHERMOT,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,ETERNAL,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,GRASIM,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,HCLTECH,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,HDFCBANK,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,HDFCLIFE,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,HINDALCO,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,HINDUNILVR,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,ICICIBANK,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,INDIGO,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,INFY,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,0
2025-03-17,ITC,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,0
2025-03-17,JIOFIN,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,JSWSTEEL,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,KOTAKBANK,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,LT,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,M&M,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,MARUTI,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,MAXHEALTH,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,NESTLEIND,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,NTPC,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,ONGC,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,POWERGRID,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,RELIANCE,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,SBILIFE,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,SBIN,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,SHRIRAMFIN,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,SUNPHARMA,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,TATACONSUM,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,TATASTEEL,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,TCS,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,TECHM,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,0
2025-03-17,TITAN,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,TMPV,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,TRENT,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,0
2025-03-17,ULTRACEMCO,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-17,WIPRO,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
2025-03-18,ADANIENT,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,0
2025-03-18,ADANIPORTS,0.0,52.30632368167616,1.0,0.01269560734922225,0.0,0.0,0.0006713823286441656,0.0021379672273675876,1.0039677095851738,1.006486311009911,0.8679078042414805,1
