date,stock,ROC,RSI,MA_ratio,Volatility,Momentum_score
2025-03-17,ADANIENT,,,,,
2025-03-18,ADANIENT,,,,,
2025-03-19,ADANIENT,,,,,
2025-03-20,ADANIENT,,,,,
2025-03-21,ADANIENT,,,,,
2025-03-24,ADANIENT,,,,,
2025-03-25,ADANIENT,,,,,
2025-03-26,ADANIENT,,,,,
2025-03-27,ADANIENT,,,,,
2025-03-28,ADANIENT,,,,,
2025-04-01,ADANIENT,0.036644914990899835,,,,
2025-04-02,ADANIENT,0.026380766731644023,,,,
2025-04-03,ADANIENT,0.03974295387402149,,,,
2025-04-04,ADANIENT,-0.0019877741204634702,,,,
2025-04-07,ADANIENT,-0.06352632469950925,46.45075421472937,,,
2025-04-08,ADANIENT,-0.03504031747371972,48.03685207508178,,,
2025-04-09,ADANIENT,-0.03596440192212369,43.40033906514894,,,
2025-04-11,ADANIENT,0.003805240854449554,48.68998829039813,,,
2025-04-15,ADANIENT,0.023208581039625864,53.661599471249154,,,
2025-04-16,ADANIENT,0.04309525865791497,53.11338289962826,,,
2025-04-17,ADANIENT,0.03547800021410974,56.90959213967626,,0.02391829087802461,
2025-04-21,ADANIENT,0.030936101966742457,58.982325324495996,,0.023463813219992226,
2025-04-22,ADANIENT,0.014393562302969842,56.0739371534196,,0.023465557615755528,
2025-04-23,ADANIENT,0.05094982117233848,60.819723618090435,,0.02342387288664531,
2025-04-24,ADANIENT,0.10385501875536685,58.532898400827435,,0.023408307926294745,
2025-04-25,ADANIENT,0.030012687579297426,48.8937728937729,,0.024902541324468393,
2025-04-28,ADANIENT,0.059412579909696506,46.87785561985988,,0.024466236154142163,
2025-04-29,ADANIENT,0.003963125700008563,49.67320261437907,,0.024775293668404794,
2025-04-30,ADANIENT,-0.04834174179141493,58.40607210626191,,0.02441567304844876,
2025-05-02,ADANIENT,-0.050256665010763424,50.92170895684233,,0.024008978577863462,
2025-05-05,ADANIENT,0.015466688722550748,69.05509065550906,,0.02870644705663933,
2025-05-06,ADANIENT,-0.03631227739796117,52.75990518117169,,0.030192498745604125,
2025-05-07,ADANIENT,-0.03778368431813539,43.42025469981809,,0.029914594030767353,
2025-05-08,ADANIENT,-0.06859308770785777,38.363993570280435,,0.029770365690318455,
2025-05-09,ADANIENT,-0.07840327533265101,35.8796687510563,,0.02744863093941832,
2025-05-12,ADANIENT,0.03015758399524282,48.826544375505826,,0.03163611624256583,
2025-05-13,ADANIENT,0.03012912482065988,49.715043074884015,,0.031096307896094157,
2025-05-14,ADANIENT,0.056337423839354805,50.5409985660279,,0.030137881286186847,
2025-05-15,ADANIENT,0.09503324208056307,54.75985751136224,,0.02918279189753781,
2025-05-16,ADANIENT,0.1136779705343911,63.18832960967273,,0.02927908522102379,
2025-05-19,ADANIENT,0.034656892689879815,61.23979994735454,,0.02934306011501709,
2025-05-20,ADANIENT,0.06270178419711137,61.25592417061612,,0.02956309028772603,
2025-05-21,ADANIENT,0.0625982746164635,63.60902255639096,,0.029566631392187348,
2025-05-22,ADANIENT,0.08852229466590811,63.11720021703744,,0.02959976274219741,
